activity_sector_agg;n_disctinct_business_accounts;n_distinct_opportunities;real_money;total_estimated_money;success_ratio;avg_donation_per_opportunity
AGRI FOOD;53;163.0;4196648.27;6820319.080000001;0.6153155330087575;25746.308404907973
AGRICULTURE;1;0.0;0.0;0.0;;
ARCHITECTURE LANDSCAPE URBAN PLANNING;22;45.0;565523.4;806905.4;0.7008546478930492;12567.186666666666
ARMY SECURITY;9;35.0;393707.24999999994;654362.2500000001;0.6016655911920344;11248.77857142857
BTP;57;199.0;6750333.070000003;10974510.820000011;0.6150919326352258;33921.27170854273
BUSINESS ADMINISTRATION;117;197.0;2673671.720000002;5041736.940000004;0.5303076602009307;13571.93766497463
COMMERCE;67;173.0;2451295.6199999996;5714780.0200000005;0.42893962872082686;14169.338843930635
COMMUNICATION;38;31.0;229092.41;401066.41;0.5712081697392709;7390.077741935484
COMPUTING TELECOM;134;265.0;8378716.29999999;14438684.490000002;0.5802963771251427;31617.797358490527
CUSTOMER RELATIONS;11;35.0;1800400.0;8068860.0;0.2231294135726732;51440.0
EDUCATION RESEARCH;15;19.0;70479.47;117644.87000000001;0.5990866410069559;3709.4457894736843
ENERGY ENVIRONMENT;51;87.0;454593.9299999999;6642245.940000003;0.06843979191773192;5225.217586206895
HEALTH SOCIAL;181;441.0;19563560.239999983;37025326.32;0.5283831956244588;44361.814603174564
HOTEL CATERING TOURISM;52;103.0;520350.74;1364011.8299999996;0.3814855036851111;5051.948932038835
HR RECRUITMENT;53;62.0;293684.21000000014;496454.4099999998;0.5915633018548476;4736.842096774196
INDUSTRIES;178;449.0;20118287.909999985;42107230.93999999;0.47778700857026696;44806.87730512246
INSURANCE BANKING;240;750.0;34418130.90999966;63683253.93000005;0.5404581076813647;45890.84121333288
LAW ECONOMICS MANAGEMENT;41;68.0;987683.4600000001;1114565.7300000004;0.8861599037321914;14524.756764705884
MAINTENANCE HYGIENE BEAUTY;16;36.0;1173013.23;1579463.2299999997;0.74266574094289;32583.700833333332
MEDIA ARTS SPORTS;103;234.0;8206655.790000001;17194863.639999993;0.477273676710588;35071.17858974359
OTHER;1912;1811.0;1729198.4400000004;5192082.799999999;0.3330452357192764;954.8307233572614
PUBLIC SECTOR;186;453.0;111773022.47000019;127168590.46000019;0.8789357660228015;246739.5639514353
REAL ESTATE;64;105.0;423342.66999999987;837642.2700000006;0.5053979307897147;4031.834952380951
TRANSPORT;100;225.0;2422763.589999999;4434506.7399999965;0.5463434226283307;10767.838177777772
